census_data_row_1_based,query_id,true_reference,candidate_id,category,source_score,candidate_score,group_id,family,status,true_path_count,candidate_path_count,both_have_no_retained_alternatives,retained_alternatives_only_multiset_equal,source_margin,same_best_query_onset_anchors,best_inspected_acoustic_fields_exact_equal,retained_acoustic_path_multiset_exact_equal,shared_exact_retained_acoustic_signatures,best_global_transform_exact_equal,true_best_global_pitch_shift,candidate_best_global_pitch_shift,true_best_timing_scale,candidate_best_timing_scale,true_best_timing_offset_s,candidate_best_timing_offset_s,best_matched_acoustic_fields_exact_equal,best_missing_acoustic_fields_exact_equal,best_missing_anchor_regions_equal,best_inserted_acoustic_fields_exact_equal,best_reference_pitch_intervals_max_abs_difference,best_reference_onset_intervals_s_max_abs_difference,best_pitch_residuals_max_abs_difference,best_timing_residuals_s_max_abs_difference,best_missing_mapped_onset_s_max_abs_difference,best_missing_mapped_offset_s_max_abs_difference,best_missing_mapped_pitch_semitones_max_abs_difference,best_missing_pitch_from_first_matched_reference_semitones_max_abs_difference
7,e08_query_a_delete_two,e08_reference_a,e08_reference_b,all_12_equal,1.0292247145785138,1.0292247145785138,e08,delete_two,available,1,1,True,True,-2.5971884056580468,True,False,False,0,False,0.0,0.0,1.0,0.33333331326442955,0.0,0.08933333824780659,False,False,False,True,0.0,0.33000001311302185,0.0,1.3877787807814457e-17,0.38500001695420966,0.44633335722014533,0.0,0.0
8,e08_query_a_delete_two,e08_reference_a,e08_distractor_0,all_12_equal,1.0292247145785138,1.0292247145785138,e08,delete_two,available,1,1,True,True,-2.5971884056580468,True,False,False,0,False,0.0,0.0,1.0,0.5,0.0,0.06700000166893005,False,False,False,True,0.0,0.16499999165534973,0.0,0.0,0.2475000023841858,0.29350000619888306,2.384185791015625e-07,2.384185791015625e-07
9,e08_query_a_delete_two,e08_reference_a,e08_distractor_1,all_12_equal,1.0292247145785138,1.0292247145785138,e08,delete_two,available,1,1,True,True,-2.5971884056580468,True,False,False,0,False,0.0,0.0,1.0,0.9999998193798878,0.0,-0.3299998995029698,False,False,False,True,0.0,2.9802322387695312e-08,0.0,0.0,0.6599999666214043,0.659999983238456,4.000150680541992,4.000150680541992
10,e08_query_a_delete_two,e08_reference_a,e08_distractor_2,all_12_equal,1.0292247145785138,1.0292247145785138,e08,delete_two,available,1,1,True,True,-2.5971884056580468,True,False,False,0,False,0.0,0.0,1.0,0.4999999548449679,0.0,-0.015499980657390444,False,False,False,True,0.0,0.16500002145767212,0.0,0.0,0.41250001639127665,0.4585000243602372,2.384185791015625e-07,2.384185791015625e-07
11,e08_query_a_delete_two,e08_reference_a,e08_distractor_3,all_12_equal,1.0292247145785138,1.0292247145785138,e08,delete_two,available,1,1,True,True,-2.5971884056580468,True,False,False,0,False,0.0,0.0,1.0,1.0,0.0,-0.16499999165534973,False,False,False,True,0.0,0.0,0.0,0.0,0.4949999749660492,0.4949999898672104,2.384185791015625e-07,2.384185791015625e-07
19,e08_query_a_merged,e08_reference_a,e08_reference_b,all_12_equal,0.19532896675543743,0.19532896675543743,e08,merged,available,1,1,True,True,-3.431084153481123,True,False,False,0,False,0.0,0.0,1.0,1.5000000903100723,0.0,-0.06700001377048004,False,False,False,True,0.0,0.16500002145767212,0.0,0.0,0.41250006854534416,0.45850008066856884,8.000063180923462,8.000063180923462
20,e08_query_a_merged,e08_reference_a,e08_distractor_0,all_12_equal,0.19532896675543743,0.19532896675543743,e08,merged,available,1,1,True,True,-3.431084153481123,True,False,False,0,True,0.0,0.0,1.0,1.0,0.0,0.0,True,False,True,True,0.0,0.0,0.0,0.0,0.0,0.0,8.000063180923462,8.000063180923462
21,e08_query_a_merged,e08_reference_a,e08_distractor_1,all_12_equal,0.19532896675543743,0.19532896675543743,e08,merged,available,1,1,True,True,-3.431084153481123,True,False,False,0,False,0.0,2.000075340270996,1.0,3.0000001806201446,0.0,-0.7630000356471918,False,False,False,True,0.000156402587890625,0.33000001311302185,7.82012939453125e-05,0.0,0.6600001156330162,0.8440001475088601,10.000138521194458,10.000060319900513
22,e08_query_a_merged,e08_reference_a,e08_distractor_2,all_12_equal,0.19532896675543743,0.19532896675543743,e08,merged,available,1,2,False,False,-3.431084153481123,True,False,False,0,False,0.0,0.0,1.0,3.0000001806201446,0.0,-0.7630000356471918,False,False,False,True,0.0,0.33000001311302185,0.0,0.0,0.6600001156330162,0.8440001475088601,8.000063180923462,8.000063180923462
23,e08_query_a_merged,e08_reference_a,e08_distractor_3,all_12_equal,0.19532896675543743,0.19532896675543743,e08,merged,available,1,2,False,False,-3.431084153481123,True,False,False,0,False,0.0,0.0,1.0,1.4999999548449678,0.0,-0.3144999756506003,False,False,False,True,0.0,0.16499999165534973,0.0,0.0,0.4124999716877944,0.3664999943791016,8.000063180923462,8.000063180923462
