query_id,reference_id,path_index,used_for_support,role,missing_order,reference_event,reference_onset_s,reference_offset_s,reference_pitch_semitones,mapped_onset_s,mapped_offset_s,mapped_pitch_semitones,pitch_from_first_matched_reference_semitones,preceding_matched_query_onset_s,following_matched_query_onset_s,interpretation
e08_query_a_delete_two,e08_distractor_0,0,True,maximum_candidate,0,1,0.29899999499320984,0.39100000262260437,3.4323339462280273,0.21649999916553497,0.26250000298023224,3.4323339462280273,-1.9999971389770508,0.1340000033378601,0.29899999499320984,expected location/pitch under saved alignment; not a query observation or proven cause
e08_query_a_delete_two,e08_distractor_0,0,True,maximum_candidate,1,3,0.6290000081062317,0.7210000157356262,7.4324846267700195,0.3815000057220459,0.42750000953674316,7.4324846267700195,2.0001535415649414,0.29899999499320984,,expected location/pitch under saved alignment; not a query observation or proven cause
e08_query_a_delete_two,e08_distractor_1,0,True,maximum_candidate,0,0,0.1340000033378601,0.22599999606609344,7.432484149932861,-0.19599992036820535,-0.10399994425702103,7.432484149932861,2.000153064727783,,0.1340000033378601,expected location/pitch under saved alignment; not a query observation or proven cause
e08_query_a_delete_two,e08_distractor_1,0,True,maximum_candidate,1,1,0.29899999499320984,0.39100000262260437,3.4323339462280273,-0.03099995851517262,0.06100003249717023,3.4323339462280273,-1.9999971389770508,,0.1340000033378601,expected location/pitch under saved alignment; not a query observation or proven cause
e08_query_a_delete_two,e08_distractor_2,0,True,maximum_candidate,0,0,0.1340000033378601,0.22599999606609344,3.4323339462280273,0.05150001496076516,0.0975000071706192,3.4323339462280273,-1.9999971389770508,,0.1340000033378601,expected location/pitch under saved alignment; not a query observation or proven cause
e08_query_a_delete_two,e08_distractor_2,0,True,maximum_candidate,1,2,0.46399998664855957,0.5559999942779541,7.4324846267700195,0.21649999171495504,0.26249999137538904,7.4324846267700195,2.0001535415649414,0.1340000033378601,0.29899999499320984,expected location/pitch under saved alignment; not a query observation or proven cause
e08_query_a_delete_two,e08_distractor_3,0,True,maximum_candidate,0,0,0.1340000033378601,0.22599999606609344,3.4323339462280273,-0.030999988317489624,0.06100000441074371,3.4323339462280273,-1.9999971389770508,,0.1340000033378601,expected location/pitch under saved alignment; not a query observation or proven cause
e08_query_a_delete_two,e08_distractor_3,0,True,maximum_candidate,1,3,0.6290000081062317,0.7210000157356262,7.4324846267700195,0.46400001645088196,0.5560000240802765,7.4324846267700195,2.0001535415649414,0.29899999499320984,,expected location/pitch under saved alignment; not a query observation or proven cause
e08_query_a_delete_two,e08_reference_a,0,True,true_source,0,2,0.46399998664855957,0.5559999942779541,3.4323337078094482,0.46399998664855957,0.5559999942779541,3.4323337078094482,-1.9999973773956299,0.29899999499320984,,expected location/pitch under saved alignment; not a query observation or proven cause
e08_query_a_delete_two,e08_reference_a,0,True,true_source,1,3,0.6290000081062317,0.7210000157356262,7.4324846267700195,0.6290000081062317,0.7210000157356262,7.4324846267700195,2.0001535415649414,0.29899999499320984,,expected location/pitch under saved alignment; not a query observation or proven cause
e08_query_a_delete_two,e08_reference_b,0,True,maximum_candidate,0,1,0.29899999499320984,0.39100000262260437,3.4323337078094482,0.18899999724494107,0.21966666460839995,3.4323337078094482,-1.9999973773956299,0.1340000033378601,0.29899999499320984,expected location/pitch under saved alignment; not a query observation or proven cause
e08_query_a_delete_two,e08_reference_b,0,True,maximum_candidate,1,2,0.46399998664855957,0.5559999942779541,7.4324846267700195,0.24399999115202203,0.2746666585154809,7.4324846267700195,2.0001535415649414,0.1340000033378601,0.29899999499320984,expected location/pitch under saved alignment; not a query observation or proven cause
e08_query_a_merged,e08_distractor_0,0,True,maximum_candidate,0,1,0.29899999499320984,0.39100000262260437,3.4323339462280273,0.29899999499320984,0.39100000262260437,3.4323339462280273,-1.9999971389770508,0.1340000033378601,0.6290000081062317,expected location/pitch under saved alignment; not a query observation or proven cause
e08_query_a_merged,e08_distractor_0,0,True,maximum_candidate,1,2,0.46399998664855957,0.5559999942779541,11.43239688873291,0.46399998664855957,0.5559999942779541,11.43239688873291,6.000065803527832,0.1340000033378601,0.6290000081062317,expected location/pitch under saved alignment; not a query observation or proven cause
e08_query_a_merged,e08_distractor_1,0,True,maximum_candidate,0,0,0.1340000033378601,0.22599999606609344,7.432484149932861,-0.3610000014305115,-0.0850000066287595,9.432559490203857,4.000150203704834,,0.1340000033378601,expected location/pitch under saved alignment; not a query observation or proven cause
e08_query_a_merged,e08_distractor_1,0,True,maximum_candidate,1,3,0.6290000081062317,0.7210000157356262,11.43239688873291,1.1240001022815758,1.4000001417868142,13.432472229003906,8.000062942504883,0.6290000081062317,,expected location/pitch under saved alignment; not a query observation or proven cause
